"Source:","/home/brecht/Qsync/Documents/1 - School/2018 - 2019/Semester 2/Embedded system design 2 - labo/project-embeddedSystemDesign2/project-embeddedSystemDesign2.sch"
"Date:","vr 22 mrt 2019 00:52:19 CET"
"Tool:","Eeschema 5.1.0-060a0da~80~ubuntu18.10.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Class","Load capacitance","Placement","Tolerance"
"","","U1","EFM32HG322","MCU_SiliconLabs-extra:EFM32HG322","Package_QFP:LQFP-48_7x7mm_P0.5mm","","","","",""
"","","U2","ADXL362-breakout","Sensor_Breakout:ADXL362-breakout","Package_DIP:DIP-8_W10.16mm","","","","",""
"","","Y1","32,768 kHz","Device:Crystal_Small","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering","~","","12,5 pF","","+- 20 ppm"
"","","Y2","24 MHz","Device:Crystal_GND24_Small","Clocks:CRYSTAL-SMD-5X3.2-4PAD","~","","8 pF","","+- 20 ppm"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Class","Load capacitance","Placement","Tolerance"
"1","2","C1, C6","10 µF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","IOVDD_0",""
"2","5","C2, C3, C4, C5, C10","100 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","IOVDD_0",""
"3","2","C7, C8","10 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","AVDD_0",""
"4","1","C9","1 µF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","X5R","","DECOUPLE",""
"5","2","C11, C12","18 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"6","2","C13, C14","12 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"7","3","H1, H2, H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","","","",""
"8","1","J1","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","","",""
"9","1","J2","Conn_02x09_Odd_Even","Connector_Generic:Conn_02x09_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical","~","","","",""
"10","1","J3","Conn_01x04","Connector_Generic:Conn_01x04","Connectors:1X04_LOCK","~","","","",""
"11","2","J4, J5","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","","",""
